code,pubdate,statdate,updatedate,resstotalasset,ressnetasset,ressepschgpct,ressroewa,ressepsdiluted,ressgryoy,ressopyoy
sh.600000,2015-01-06,2014-12-31,2015-01-06,4195600000000.0,260011000000.0,0.32691,21.02,2.52,0.22839,0.153803
sh.600000,2016-01-05,2015-12-31,2016-01-05,5043060000000.0,285245000000.0,0.191493,18.82,2.66,0.192395,0.069764
sh.600000,2017-01-04,2016-12-31,2017-01-04,5857260000000.0,338027000000.0,0.115412,16.35,2.4,0.097234,0.054384
sh.600000,2018-01-06,2017-12-31,2018-01-06,6135060000000.0,395466000000.0,0.038873,14.44,1.84,0.048678,0.007379
sh.600000,2019-01-04,2018-12-31,2019-01-04,6286840000000.0,471599000000.0,0.005435,13.14,1.85,0.017335,-0.070181
sh.600000,2020-01-22,2019-12-31,2020-01-22,7004800000000.0,493809000000.0,0.054054,12.3,1.95,0.116016,0.069189
sh.600000,2021-01-28,2020-12-31,2021-01-28,7959250000000.0,638196000000.0,-0.035897,10.81,1.88,0.029803,-0.044773
sh.600000,2022-03-19,2021-12-31,2022-03-19,8136760000000.0,560098000000.0,-0.138298,8.75,1.62,-0.027507,-0.112848
sh.600000,2022-08-11,2022-06-30,2022-08-11,8505960000000.0,575384000000.0,0.010101,5.13,1.0,0.013136,-0.005581
sh.600000,2023-03-23,2022-12-31,2023-03-23,8704650000000.0,697872000000.0,-0.037037,7.98,1.56,-0.012357,-0.049523
sh.600004,2016-04-16,2015-12-31,2016-04-16,12324800000.0,9571370000.0,0.143868,14.0,1.09,0.332751,0.108746
sh.600004,2018-03-24,2017-12-31,2018-03-24,22519500000.0,15006200000.0,0.097584,12.24,0.82,0.408581,0.13934
sh.600004,2023-04-07,2022-12-31,2023-04-07,26940800000.0,17190500000.0,1.64706,-6.03,-0.45,-0.233441,-1.676
sh.600007,2015-08-26,2015-06-30,2015-08-26,9829890000.0,5327450000.0,0.021468,5.75,0.3,0.013559,0.074632
sh.600007,2016-08-25,2016-06-30,2016-08-25,10667000000.0,5826030000.0,0.071918,6.54,0.37,0.045601,0.241645
sh.600007,2017-08-23,2017-06-30,2017-08-23,11455000000.0,6127680000.0,-0.08191,4.77,0.29,0.095958,-0.213094
sh.600007,2018-03-21,2017-12-31,2018-03-21,11666000000.0,6467530000.0,-0.051158,10.16,0.63,0.264488,-0.099259
sh.600007,2018-08-23,2018-06-30,2018-08-23,11144000000.0,6549060000.0,0.108114,6.15,0.4,0.236779,0.398603
sh.600007,2019-03-20,2018-12-31,2019-03-20,11092700000.0,6919850000.0,0.222222,11.67,0.77,0.146147,0.283132
sh.600007,2019-08-21,2019-06-30,2019-08-21,11326300000.0,7085380000.0,0.2,6.91,0.48,0.109985,0.167078
sh.600007,2020-03-27,2019-12-31,2020-03-27,11802400000.0,7570410000.0,0.25974,13.52,0.97,0.113342,0.208928
sh.600007,2021-08-27,2021-06-30,2021-08-27,12198600000.0,8121130000.0,0.275,6.28,0.51,0.220475,0.282184
sh.600007,2022-03-24,2021-12-31,2022-03-24,12725900000.0,8633950000.0,0.243902,12.4,1.02,0.157604,0.24774
sh.600007,2022-08-26,2022-06-30,2022-08-26,12265800000.0,8600440000.0,0.117647,6.55,0.57,-0.051527,-0.038327
sh.600007,2023-03-24,2022-12-31,2023-03-24,12827300000.0,9145450000.0,0.088235,12.7,1.11,-0.040073,0.012439
sh.600009,2015-02-14,2014-12-31,2015-02-14,23017000000.0,18462600000.0,0.115561,11.77,1.09,0.102731,0.117532
sh.600009,2016-02-06,2015-12-31,2016-02-06,25641700000.0,20322300000.0,0.227586,12.99,1.32,0.093076,0.185313
sh.600009,2017-02-14,2016-12-31,2017-02-14,26944100000.0,22282800000.0,0.13511,13.11,1.45,0.10584,0.112524
sh.600009,2018-02-24,2017-12-31,2018-02-24,27541400000.0,25132200000.0,0.455493,15.53,1.91,0.159448,0.302672
sh.600009,2019-02-21,2018-12-31,2019-02-21,30928300000.0,28247300000.0,0.151832,15.86,2.2,0.153473,0.163894
sh.600009,2020-02-22,2019-12-31,2020-02-22,37171200000.0,32004400000.0,0.186364,16.7,2.61,0.175189,0.184602
sh.600009,2021-02-27,2020-12-31,2021-02-27,33196900000.0,29215500000.0,-1.25287,-4.14,-0.66,-0.607011,-1.22675
sh.600009,2022-02-26,2021-12-31,2022-02-26,51425800000.0,27504100000.0,0.348485,-6.03,-0.89,-0.133768,-0.503637
sh.600009,2023-03-25,2022-12-31,2023-03-25,67788200000.0,39620700000.0,0.852941,-8.2,-1.26,-0.327946,-1.03516
sh.600015,2016-01-26,2015-12-31,2016-01-26,2019740000000.0,117679000000.0,0.084413,17.18,1.77,0.086946,0.043657
sh.600015,2019-03-09,2018-12-31,2019-03-09,2680580000000.0,217141000000.0,0.054054,12.67,1.56,0.088018,0.021863
sh.600015,2020-03-11,2019-12-31,2020-03-11,3020790000000.0,267588000000.0,-0.121795,10.61,1.37,0.173162,0.030313
sh.600015,2021-02-22,2020-12-31,2021-02-22,3399820000000.0,280613000000.0,-0.124088,8.64,1.2,0.124802,-0.012583
sh.600015,2022-02-23,2021-12-31,2022-02-23,3676290000000.0,298292000000.0,0.125,9.04,1.35,0.005886,0.161578
sh.600015,2023-02-24,2022-12-31,2023-02-24,3900170000000.0,320457000000.0,0.059259,9.0,1.43,-0.021508,0.068394
sh.600016,2015-02-13,2014-12-31,2015-02-13,4015140000000.0,240142000000.0,0.066407,20.41,1.31,0.22228,0.04711
sh.600016,2016-01-22,2015-12-31,2016-01-22,4520930000000.0,301218000000.0,0.042894,16.98,1.3,0.139929,0.012963
sh.600016,2019-01-31,2018-12-31,2019-01-31,5995050000000.0,410271000000.0,0.00885,12.94,1.14,0.086539,-0.025604
sh.600018,2015-01-09,2014-12-31,2015-01-09,93720000000.0,54380000000.0,0.0626,12.8,0.29,0.021352,0.265734
sh.600018,2016-01-12,2015-12-31,2016-01-12,98400000000.0,59810000000.0,-0.011502,11.4,0.28,0.027875,-0.036954
sh.600018,2017-01-11,2016-12-31,2017-01-11,117850000000.0,60920000000.0,0.012408,11.4,0.3,0.050847,0.057043
sh.600018,2018-01-13,2017-12-31,2018-01-13,141930000000.0,69550000000.0,0.198109,17.7,0.4974,0.204194,0.347072
sh.600018,2019-01-15,2018-12-31,2019-01-15,146150000000.0,76190000000.0,-0.108879,14.1,0.4436,0.019508,0.071158
sh.600018,2020-01-10,2019-12-31,2020-01-10,141850000000.0,82150000000.0,-0.124042,11.4,0.3884,-0.053102,-0.181627
sh.600018,2021-01-16,2020-12-31,2021-01-16,156180000000.0,87800000000.0,-0.085144,9.8,0.3578,-0.270083,-0.105308
sh.600018,2022-01-14,2021-12-31,2022-01-14,170240000000.0,98990000000.0,0.745607,15.5,0.6258,0.316233,0.646837
sh.600018,2023-01-11,2022-12-31,2023-01-11,181160000000.0,113490000000.0,0.182292,16.3,0.7491,0.095363,0.156775
sh.600019,2015-01-15,2014-12-31,2015-01-15,228255000000.0,114360000000.0,0.000275,5.19,0.35,-0.009983,-0.006897
sh.600019,2016-01-20,2015-12-31,2016-01-20,234144000000.0,112721000000.0,-0.293387,0.85,0.06,-0.128952,-0.767439
sh.600020,2019-03-20,2018-12-31,2019-03-20,50157100000.0,11147000000.0,-0.472727,4.07,0.2059,-0.074542,-0.254395
sh.600021,2023-03-13,2022-12-31,2023-03-13,160985000000.0,21283700000.0,-1.08833,1.22,0.0683,0.269971,3.84193
sh.600023,2023-04-14,2022-12-31,2023-04-14,120881000000.0,61173000000.0,1.33333,-2.97,-0.14,0.128299,-0.107809
sh.600025,2017-11-06,2016-09-30,2017-11-06,0.0,0.0,-0.134724,0.0,0.0,0.0,-0.484713
sh.600025,2017-11-06,2017-09-30,2017-11-06,166580000000.0,35077500000.0,0.050907,0.0,0.0,0.036113,0.873744
sh.600025,2022-03-03,2021-12-31,2022-03-03,160654000000.0,64363500000.0,0.185185,9.25,0.32,0.049251,0.264203
sh.600025,2022-07-22,2022-06-30,2022-07-22,162092000000.0,64931200000.0,0.4,5.94,0.21,0.129051,0.404255
sh.600025,2022-10-15,2022-09-30,2022-10-15,160904000000.0,66957900000.0,0.222222,8.88,0.33,0.08164,0.227189
sh.600027,2021-03-06,2020-12-31,2021-03-06,234653000000.0,72113600000.0,0.137931,7.08,0.33,-0.031076,0.239007
sh.600028,2019-01-26,2018-12-31,2019-01-26,1593450000000.0,717265000000.0,0.220379,8.64,0.52,0.220909,0.164721
sh.600030,2015-01-28,2014-12-31,2015-01-28,478837000000.0,98975000000.0,0.549254,12.14,1.03,0.836175,0.969388
sh.600030,2015-07-14,2015-06-30,2015-07-14,775471000000.0,130292000000.0,0.692865,11.79,1.13,1.9532,3.69628
sh.600030,2016-01-29,2015-12-31,2016-01-29,615925000000.0,139136000000.0,0.700493,16.65,1.71,0.898343,1.10046
sh.600030,2016-07-22,2016-06-30,2016-07-22,570057000000.0,136296000000.0,-0.59019,3.78,0.44,-0.416302,-0.55838
sh.600030,2017-07-15,2017-06-30,2017-07-15,605912000000.0,143703000000.0,-0.026008,3.39,0.41,0.027919,-0.051846
sh.600030,2018-01-25,2017-12-31,2018-01-25,624978000000.0,149533000000.0,0.090438,7.84,0.95,1.21151,0.144135
sh.600030,2018-07-13,2018-06-30,2018-07-13,657993000000.0,150070000000.0,0.054427,3.66,0.46,0.068578,0.047619
sh.600030,2019-01-24,2018-12-31,2019-01-24,653541000000.0,153141000000.0,-0.170213,6.2,0.78,-0.140188,-0.258863
sh.600030,2019-07-13,2019-06-30,2019-07-13,723866000000.0,156076000000.0,0.152174,4.11,0.53,0.093333,0.212656
sh.600030,2020-01-14,2019-12-31,2020-01-14,791804000000.0,161685000000.0,0.311688,7.8,1.01,0.160017,0.419942
sh.600030,2020-07-30,2020-06-30,2020-07-30,975081000000.0,176044000000.0,0.320755,5.07,0.7,0.22725,0.330011
sh.600030,2021-01-23,2020-12-31,2021-01-23,1064700000000.0,181707000000.0,0.148515,8.43,1.16,0.259805,0.211922
sh.600030,2021-07-29,2021-06-30,2021-07-29,1169140000000.0,187406000000.0,0.342857,6.52,0.94,0.410447,0.376021
sh.600030,2022-01-13,2021-12-31,2022-01-13,1277060000000.0,209053000000.0,0.525862,12.01,1.77,0.407977,0.565995
sh.600030,2022-04-13,2022-03-31,2022-04-13,1362130000000.0,244320000000.0,-0.1,2.26,0.36,-0.072025,0.037303
sh.600030,2023-01-13,2022-12-31,2023-01-13,1310150000000.0,252985000000.0,-0.20339,8.59,1.41,-0.143628,-0.117409
sh.600032,2022-03-12,2021-12-31,2022-03-12,41286600000.0,7713260000.0,0.510554,6.34,0.229,0.238965,0.2376
sh.600032,2022-10-21,2022-09-30,2022-10-21,46724600000.0,8679140000.0,0.952381,10.32,0.41,0.512183,0.415787
sh.600033,2015-03-07,2014-12-31,2015-03-07,18693700000.0,7775790000.0,0.021672,7.89,0.2198,1.71789,0.064296
sh.600035,2020-04-29,2019-12-31,2020-04-29,13536100000.0,6629810000.0,0.615385,10.88,0.42,-0.039355,0.0
sh.600036,2015-02-14,2014-12-31,2015-02-14,4731830000000.0,315060000000.0,0.165267,19.28,2.22,0.250277,0.071535
sh.600036,2016-02-18,2015-12-31,2016-02-18,5478420000000.0,361789000000.0,0.068993,17.07,2.29,0.214629,0.020599
sh.600036,2016-08-02,2016-06-30,2016-08-02,5537300000000.0,379188000000.0,0.089414,19.07,1.4,0.136289,0.040011
sh.600036,2017-01-24,2016-12-31,2017-01-24,5944280000000.0,403288000000.0,0.173871,16.27,2.46,0.037541,0.046735
sh.600036,2017-07-25,2017-06-30,2017-07-25,6202740000000.0,0.0,0.159715,9.56,1.56,-0.00086,0.101199
sh.600036,2018-01-24,2017-12-31,2018-01-24,6292000000000.0,479917000000.0,0.319946,16.54,2.78,0.057405,0.154528
sh.600036,2018-07-25,2018-06-30,2018-07-25,6534710000000.0,502150000000.0,0.217963,19.58,1.77,0.114693,0.178457
sh.600036,2019-01-24,2018-12-31,2019-01-24,6745840000000.0,540160000000.0,0.125899,16.57,3.13,0.125665,0.178385
sh.600036,2019-07-25,2019-06-30,2019-07-25,7193770000000.0,567890000000.0,0.135593,9.735,2.01,0.096531,0.09958
sh.600036,2020-01-18,2019-12-31,2020-01-18,7417120000000.0,611417000000.0,0.15655,16.84,3.62,0.085273,0.098595
sh.600036,2021-01-15,2020-12-31,2021-01-15,8358750000000.0,723751000000.0,0.046961,15.73,3.79,0.07714,0.048126
sh.600036,2022-01-15,2021-12-31,2022-01-15,9272660000000.0,860847000000.0,0.216359,16.94,4.61,0.140291,0.206795
sh.600036,2023-01-14,2022-12-31,2023-01-14,10137100000000.0,945733000000.0,0.140998,17.06,5.26,0.040848,0.115634
sh.600037,2015-02-14,2014-12-31,2015-02-14,10453700000.0,6289310000.0,0.180487,9.44,0.5359,0.096188,4.66497
sh.600037,2015-08-06,2015-06-30,2015-08-06,10303300000.0,7872890000.0,0.093594,4.31,0.2721,0.010603,1.55041
sh.600037,2016-03-04,2015-12-31,2016-03-04,14023100000.0,11530500000.0,0.075138,8.99,0.5938,0.041391,1.3735
sh.600037,2017-01-21,2016-12-31,2017-01-21,15096100000.0,12680500000.0,0.031156,6.07,0.5145,0.039034,0.733691
sh.600037,2018-02-14,2017-12-31,2018-02-14,15297900000.0,12744800000.0,0.01773,5.92,0.5389,0.007328,0.270319
sh.600037,2019-03-15,2018-12-31,2019-03-15,15936600000.0,13050400000.0,-0.083729,5.42,0.5012,0.010024,-0.0802
sh.600037,2019-08-08,2019-06-30,2019-08-08,16245300000.0,13238100000.0,0.207382,3.35,0.3173,0.023546,0.219099
sh.600037,2020-03-28,2019-12-31,2020-03-28,16296500000.0,13442600000.0,-0.143945,4.48,0.427,0.01224,-0.138393
sh.600037,2021-04-02,2020-12-31,2021-04-02,15707800000.0,12676500000.0,-0.718249,1.26,0.1178,-0.06642,-0.702873
sh.600037,2022-03-23,2021-12-31,2022-03-23,16003100000.0,12829700000.0,0.274194,1.64,0.1501,-0.009257,0.186381
sh.600037,2023-03-22,2022-12-31,2023-03-22,16157100000.0,13100700000.0,0.600266,2.58,0.2402,-0.043054,0.6329
sh.600039,2022-03-03,2021-12-31,2022-03-03,138429000000.0,26992200000.0,0.448718,21.64,1.13,0.306435,0.795141
sh.600039,2022-04-22,2022-03-31,2022-04-22,140485000000.0,28827200000.0,0.317365,5.62,0.33,0.32767,0.341494
sh.600048,2015-01-13,2014-12-31,2015-01-13,365652000000.0,61397800000.0,0.133772,21.62,1.14,0.180064,0.185653
sh.600048,2015-07-09,2015-06-30,2015-07-09,379470000000.0,64283200000.0,0.109773,7.87,0.47,24.0406,0.377589
sh.600048,2016-01-23,2015-12-31,2016-01-23,404831000000.0,71520500000.0,0.013422,18.62,1.15,0.133526,0.197257
sh.600048,2016-07-16,2016-06-30,2016-07-16,435457000000.0,81665200000.0,0.000488,6.75,0.46,0.298213,0.21403
sh.600048,2017-01-12,2016-12-31,2017-01-12,466440000000.0,89354000000.0,0.005641,15.5,1.1,0.253664,0.017848
sh.600048,2017-07-12,2017-06-30,2017-07-12,582001000000.0,91302500000.0,0.0444,5.99,0.46,-0.013018,0.007634
sh.600048,2018-01-15,2017-12-31,2018-01-15,683665000000.0,107107000000.0,0.275143,16.36,1.32,-0.063299,0.100643
sh.600048,2018-07-16,2018-06-30,2018-07-16,808137000000.0,109819000000.0,0.071,5.85,0.55,0.09904,0.238551
sh.600048,2019-01-15,2018-12-31,2019-01-15,852238000000.0,123751000000.0,0.19697,16.44,1.58,0.323117,0.384123
sh.600048,2019-07-19,2019-06-30,2019-07-19,935060000000.0,126030000000.0,0.581818,8.23,0.87,0.195243,0.393011
sh.600048,2020-01-09,2019-12-31,2020-01-09,1028380000000.0,151623000000.0,0.402516,18.81,2.23,0.210658,0.413612
sh.600048,2020-07-21,2020-06-30,2020-07-21,1094980000000.0,163134000000.0,0.011905,6.22,0.85,0.03604,0.017453
sh.600048,2021-01-19,2020-12-31,2021-01-19,1238750000000.0,180783000000.0,0.029787,17.08,2.42,0.039329,0.036675
sh.600048,2021-07-17,2021-06-30,2021-07-17,1383870000000.0,190155000000.0,0.011765,5.56,0.86,0.222544,0.087003
sh.600048,2022-01-10,2021-12-31,2022-01-10,1399910000000.0,195949000000.0,-0.049587,14.48,2.3,0.171964,-0.048498
sh.600048,2022-07-15,2022-06-30,2022-07-15,1433160000000.0,199484000000.0,0.046512,5.33,0.9,0.231922,0.011136
sh.600048,2023-01-06,2022-12-31,2023-01-06,1474010000000.0,196591000000.0,-0.331878,9.16,1.53,-0.013729,-0.301791
sh.600054,2015-03-07,2014-12-31,2015-03-07,3323130000.0,2220590000.0,0.137733,9.82,0.4428,1.27482,0.384936
sh.600057,2020-07-21,2020-06-30,2020-07-21,79201200000.0,13553800000.0,0.173913,5.37,0.27,0.300049,0.201574
sh.600057,2022-03-04,2021-12-31,2022-03-04,95886000000.0,17245000000.0,0.710037,17.06,0.92,0.284688,0.825538
sh.600058,2022-03-10,2021-12-31,2022-03-10,23082000000.0,7144000000.0,1.79783,7.34,0.31,0.299887,0.853547
sh.600061,2016-01-20,2015-12-31,2016-01-20,141460000000.0,26490300000.0,0.977474,19.6,1.32,35.7887,1.89974
sh.600061,2021-03-11,2020-12-31,2021-03-11,218743000000.0,45587800000.0,0.385714,10.14,0.97,0.254672,0.294506
sh.600062,2015-02-03,2014-12-31,2015-02-03,6600550000.0,5678330000.0,-0.576486,9.83,0.9465,2.55947,-0.372981
sh.600063,2021-03-06,2020-12-31,2021-03-06,10708500000.0,5674370000.0,0.6,11.07,0.32,0.109681,0.61574
sh.600063,2022-01-25,2021-12-31,2022-01-25,11662200000.0,6307450000.0,0.5625,15.68,0.5,0.148683,0.703569
sh.600063,2022-07-23,2022-06-30,2022-07-23,12574500000.0,6949400000.0,1.0,14.33,0.498,0.336121,1.05374
sh.600073,2020-04-15,2019-12-31,2020-04-15,13729200000.0,6524430000.0,0.181818,8.31,0.39,0.054191,0.0
sh.600076,2019-03-02,2018-12-31,2019-03-02,5794910000.0,3744230000.0,0.0,13.1,0.45,0.261647,-0.019145
sh.600076,2020-04-30,2019-12-31,2020-04-30,6582090000.0,4118250000.0,-0.151111,10.04,0.382,-0.121433,0.0
sh.600079,2015-03-03,2014-12-31,2015-03-03,12167100000.0,4722850000.0,0.064282,9.97,0.85,7421.77,0.069159
sh.600081,2016-08-10,2016-06-30,2016-08-10,4303860000.0,1093810000.0,-0.183009,5.4842,0.1941,50.9066,-0.24065
sh.600095,2021-02-09,2020-12-31,2021-02-09,31699400000.0,10599500000.0,3.57912,1.86,0.136,0.356485,-0.10963
sh.600096,2021-03-06,2020-12-31,2021-03-06,52820200000.0,6428560000.0,0.743636,6.11,0.1918,-0.034496,0.939368
sh.600096,2022-03-08,2021-12-31,2022-03-08,53247000000.0,10218800000.0,9.40484,43.69,1.979,0.229446,6.61822
sh.600098,2015-01-27,2014-12-31,2015-01-27,33589000000.0,14210000000.0,0.064158,8.765,0.443,1101.71,0.124173
sh.600098,2016-08-06,2016-06-30,2016-08-06,36201000000.0,14716500000.0,-0.013461,3.3182,0.1825,628.583,-0.039155
sh.600098,2018-03-31,2017-12-31,2018-03-31,38607900000.0,16020800000.0,0.003215,4.3764,0.2486,0.125691,-0.107373
sh.600098,2019-03-22,2018-12-31,2019-03-22,38439700000.0,16292000000.0,0.032543,4.34,0.257,0.05513,-0.178149
sh.600098,2020-03-26,2019-12-31,2020-03-26,42275000000.0,16847000000.0,0.139634,4.8078,0.293,0.132919,0.054388
sh.600098,2022-08-04,2022-06-30,2022-08-04,57608200000.0,23597800000.0,-0.173285,3.04,0.2061,0.16015,0.049455
sh.600099,2015-03-03,2014-12-31,2015-03-03,562582000.0,469647000.0,0.011534,0.62,0.01,0.647583,1.60337
sh.600101,2015-01-08,2014-12-31,2015-01-08,2691270000.0,1822110000.0,-0.209965,5.44,0.3,0.151012,-0.501673
sh.600101,2015-04-09,2015-03-31,2015-04-09,2712040000.0,1850590000.0,0.004159,1.507,0.085,0.066424,0.088946
sh.600101,2015-07-04,2015-06-30,2015-07-04,2742020000.0,1852020000.0,-0.025172,2.48,0.14,0.069631,-0.159421
sh.600101,2015-10-09,2015-09-30,2015-10-09,2764360000.0,1893130000.0,-0.084798,4.67,0.267,0.035834,-0.249274
sh.600101,2016-01-09,2015-12-31,2016-01-09,2781270000.0,1897700000.0,-0.029165,4.73,0.27,0.018536,-0.078298
sh.600101,2016-04-09,2016-03-31,2016-04-09,2775430000.0,1929040000.0,0.007474,1.588,0.094,0.065107,0.016586
sh.600101,2016-07-08,2016-06-30,2016-07-08,2806010000.0,1946530000.0,0.002408,2.45,0.145,0.066682,-0.189219
sh.600101,2016-10-10,2016-09-30,2016-10-10,2846320000.0,1973180000.0,0.004927,4.59,0.274,0.161728,-0.06213
sh.600101,2017-01-07,2016-12-31,2017-01-07,2819340000.0,1975190000.0,-0.0254,4.17,0.25,0.091334,-0.053754
sh.600101,2017-04-07,2017-03-31,2017-04-07,2860140000.0,2002130000.0,-0.021105,1.198,0.074,0.03545,-0.194204
sh.600101,2017-07-07,2017-06-30,2017-07-07,2908630000.0,2021980000.0,-0.015475,2.14,0.132,0.070156,0.177267
sh.600101,2017-10-10,2017-09-30,2017-10-10,2966420000.0,2068000000.0,0.010719,4.6,0.287,0.051918,0.213035
sh.600101,2018-01-12,2017-12-31,2018-01-12,3014780000.0,2079000000.0,0.041969,4.79,0.3,0.101386,0.310158
sh.600101,2018-04-09,2018-03-31,2018-04-09,3057100000.0,2107040000.0,0.007151,1.286,0.083,0.132451,0.114147
sh.600101,2018-07-12,2018-06-30,2018-07-12,3069780000.0,2134950000.0,0.033849,2.565,0.167,0.103697,0.111968
sh.600101,2018-10-10,2018-09-30,2018-10-10,3137040000.0,2169870000.0,0.034095,4.94,0.323,0.086004,0.078582
sh.600101,2019-01-11,2018-12-31,2019-01-11,3164940000.0,2232650000.0,0.033333,4.68,0.31,0.057323,0.079757
sh.600101,2019-07-12,2019-06-30,2019-07-12,3231710000.0,2291120000.0,-0.077381,2.25,0.155,0.047442,0.069617
sh.600101,2020-01-15,2019-12-31,2020-01-15,3289690000.0,2351440000.0,-0.025,4.39,0.234,0.004858,0.0247
sh.600101,2020-07-10,2020-06-30,2020-07-10,3333710000.0,2376600000.0,-0.122381,1.85,0.1047,-0.042828,-0.125485
sh.600101,2021-01-20,2020-12-31,2021-01-20,3401190000.0,2422010000.0,-0.297252,2.94,0.1662,0.037645,-0.248152
sh.600101,2021-07-20,2021-06-30,2021-07-20,3539830000.0,2464570000.0,0.404235,2.51,0.1459,0.075013,0.42379
sh.600101,2022-02-23,2021-12-31,2022-02-23,3580720000.0,2528700000.0,0.758579,4.98,0.2921,0.155678,0.664603
sh.600101,2022-07-15,2022-06-30,2022-07-15,3893020000.0,2575670000.0,0.296246,3.115,0.1899,0.292576,0.251922
sh.600101,2023-01-13,2022-12-31,2023-01-13,3791260000.0,2665800000.0,0.288889,5.81,0.377,0.232801,0.215556
sh.600103,2022-02-25,2021-12-31,2022-02-25,5391240000.0,3656420000.0,1.56626,5.27,0.0852,0.149039,1.21692
sh.600103,2022-10-21,2022-09-30,2022-10-21,5657080000.0,3832510000.0,0.16035,4.7,0.0796,0.080556,0.233988
sh.600105,2019-03-23,2018-12-31,2019-03-23,5470480000.0,2733450000.0,-0.391304,6.55,0.14,0.109996,-0.408766
sh.600106,2015-01-20,2014-12-31,2015-01-20,6308120000.0,2948940000.0,-0.026046,8.89,0.2763,0.014676,-0.129974
sh.600109,2015-01-28,2014-12-31,2015-01-28,26236500000.0,9868920000.0,0.183504,11.29,0.323,0.8589,1.64205
sh.600109,2022-04-02,2021-12-31,2022-04-02,88312800000.0,24421000000.0,0.243506,9.9,0.766,0.175468,0.248377
sh.600110,2016-03-08,2015-12-31,2016-03-08,5721520000.0,1869680000.0,0.353364,7.94,0.1255,3.11694,1.74722
sh.600110,2021-04-17,2020-12-31,2021-04-17,8016280000.0,3412150000.0,-1.0434,0.25,0.0046,0.002189,1.4236
sh.600110,2022-03-01,2021-12-31,2022-03-01,8704580000.0,3839440000.0,61.913,11.16,0.2894,1.07877,14.269
sh.600111,2022-07-22,2022-06-30,2022-07-22,34913700000.0,16858800000.0,0.514118,19.24,0.8526,0.36884,0.641705
sh.600112,2018-02-09,2017-12-31,2018-02-09,2785660000.0,1155510000.0,0.233126,1.698,0.0388,342.228,1.45606
sh.600112,2020-04-29,2019-12-31,2020-04-29,1683560000.0,398827000.0,-52.6202,-114.097,-1.7396,-0.477389,0.0
sh.600113,2019-01-14,2018-12-31,2019-01-14,1056410000.0,734290000.0,0.066667,14.39,0.32,0.195533,0.076271
sh.600116,2015-04-16,2014-12-31,2015-04-16,3607060000.0,1152960000.0,0.141425,12.91,0.53,0.428247,0.218698
sh.600116,2022-04-12,2021-12-31,2022-04-12,21269400000.0,10932700000.0,0.097561,8.21,0.45,0.936201,0.798126
sh.600120,2017-02-18,2016-12-31,2017-02-18,11263800000.0,6402440000.0,0.140545,12.51,1.31,21.4748,-0.033924
sh.600120,2018-03-28,2017-12-31,2018-03-28,19114800000.0,10026300000.0,0.08653,7.76,1.1,1.18295,-0.026201
sh.600120,2021-01-26,2020-12-31,2021-01-26,26824700000.0,13639600000.0,-0.207293,7.22,0.4,0.354304,0.027195
sh.600120,2023-03-16,2022-12-31,2023-03-16,37398800000.0,15520100000.0,0.347826,6.82,0.31,0.12531,0.174184
sh.600123,2015-04-16,2014-12-31,2015-04-16,21833100000.0,9519920000.0,-0.818045,0.69,0.0585,-0.207009,-0.902443
sh.600123,2015-04-16,2015-03-31,2015-04-16,22085400000.0,9584650000.0,0.052741,0.09,0.0075,0.149372,1.68553
sh.600123,2015-07-11,2015-06-30,2015-07-11,22257300000.0,9684730000.0,0.076446,0.81,0.0695,0.288376,16.8862
sh.600123,2015-10-17,2015-09-30,2015-10-17,22516800000.0,9735000000.0,0.071806,1.04,0.0872,-0.109234,3.99648
sh.600123,2016-10-19,2016-09-30,2016-10-19,24146600000.0,9184510000.0,-0.262724,-2.54,-0.2068,-0.16946,-3.57422
sh.600123,2021-04-08,2020-12-31,2021-04-08,26323300000.0,10713200000.0,-0.434678,3.53,0.328,-0.166169,-0.396705
sh.600123,2022-02-16,2021-12-31,2022-02-16,28824800000.0,13053900000.0,5.25122,19.71,2.0504,0.947753,4.7168
sh.600126,2022-03-24,2021-12-31,2022-03-24,29263300000.0,20542100000.0,0.411765,8.12,0.48,0.519171,0.502291
sh.600131,2015-01-07,2014-12-31,2015-01-07,2276170000.0,803134000.0,0.626374,21.16,0.3,0.075222,4.46942
sh.600131,2015-04-09,2015-03-31,2015-04-09,2300210000.0,829052000.0,0.00767,2.87,0.047,0.096133,0.123036
sh.600131,2015-07-08,2015-06-30,2015-07-08,2329810000.0,857680000.0,0.010253,9.16,0.153,0.116394,0.072005
sh.600131,2015-10-09,2015-09-30,2015-10-09,2415130000.0,901542000.0,-0.032581,13.99,0.24,0.166816,0.2419
sh.600131,2016-01-06,2015-12-31,2016-01-06,2384680000.0,907018000.0,-0.058481,14.58,0.25,0.127885,0.068106
sh.600131,2016-04-09,2016-03-31,2016-04-09,2432600000.0,950758000.0,0.040192,4.71,0.087,0.244574,1.13698
sh.600131,2016-10-11,2016-09-30,2016-10-11,2520100000.0,1046050000.0,0.085426,16.6,0.326,0.240994,0.345997
sh.600131,2017-04-08,2017-03-31,2017-04-08,2405880000.0,1048440000.0,-0.081747,0.24,0.005,-0.322929,-0.995912
sh.600131,2017-07-07,2017-06-30,2017-07-07,2381150000.0,1058280000.0,-0.170737,3.53,0.075,-0.339444,-0.648331
sh.600131,2017-10-13,2017-09-30,2017-10-13,2377540000.0,1080030000.0,-0.208112,5.52,0.118,-0.340435,-0.601868
